GENE; control 20 min;MazF 20 min; control 1h;MazF 1h;MazF regulon
gatB;2.428678274;-0.621488452;3.631569862;-0.148800641;yes
katG;2.317593575;-0.352915794;2.568032026;-0.3566055;yes
rpsU;-1.329159617;-2.698997736;1.059355378;-0.739372134;yes
grcA;-0.309359461;-1.217591405;3.105342865;-0.902389109;yes
gatZ;2.865918875;-1.347398758;4.729498386;-1.083141208;yes
yhcB;-1.152003169;-2.237863779;1.150559664;-1.736965537;yes
rsd;0.215367988;-1.590744853;2.117029905;-1.785875201;yes
yjeI;-0.852042079;-2.171368361;1.436161876;-1.836501241;yes
rbsK;-0.295128047;-2.126580477;1.17951107;-2.064917564;yes
pepN;-0.465938449;-2.237863779;1.839556575;-2.077040911;yes
rpoS;0.202887863;-2.506352663;2.937532663;-2.171368361;yes
yceH;-0.639354765;-2.145605326;1.679423809;-2.21089673;yes
fre;-1.293358922;-2.932361364;0.773152411;-2.46593833;yes
infC;-1.49817872;-3.590744972;0.957543254;-2.473931074;yes
dut;-1.662003517;-1.805912852;0.393965274;-2.77595973;yes
livJ;-0.001443398;-3.070966482;2.684594393;-2.965784311;yes
frdA;0.358396202;-2.77595973;1.854793668;-3.145605326;yes
folE;-1.321928024;-3.279283762;1.212257981;-3.293359041;yes
ftsE;-1.630393863;-3.943416595;0.93357259;-3.321928024;yes
rpmB;-1.599462032;-3.736965418;0.864730895;-3.473931074;yes
ftsH;-1.058893681;-3.590744972;1.339707494;-3.539519548;yes
rluB;-1.510457039;-3.795859337;0.723340154;-3.590744972;yes
rimM;-1.457989693;-4.608232021;0.802399993;-3.60823226;yes
der;-1.552156448;-4.680382252;0.800744593;-3.816037178;yes
rdgB;-1.168122768;-2.506352663;1.151209354;-3.899695158;yes
deaD;-1.234465241;-3.899695158;0.955312788;-3.921390057;yes
ubiE;-1.241270423;-4.158429146;1.046840191;-3.98850441;yes
rne;-1.164884329;-4.107803345;1.369606137;-4.011588097;yes
ndk;-0.617056131;-4.795859337;1.158337116;-4.058893681;yes
aroG;-1.666576266;-4.107803345;1.542505741;-4.107803345;yes
rplL;-1.392137051;-4.473931313;0.921436369;-4.132894039;yes
hfq;-1.373327255;-4.237864017;1.124989748;-4.158429146;yes
crr;-1.722610235;-4.473931313;0.932817161;-4.210896969;yes
glmM;-1.145605326;-4.293358803;0.744161069;-4.237864017;yes
rpsJ;-1.392137051;-4.473931313;0.89452672;-4.26534462;yes
rpoA;-1.49817872;-4.380821705;0.882838666;-4.321928024;yes
pdxJ;-1.582080007;-4.107803345;1.140778661;-4.442222118;yes
sspA;-1.648371696;-4.643856049;0.899949014;-4.473931313;yes
fbp;-1.666576266;-4.411195278;0.380729496;-4.573466778;yes
trmJ;-1.595096827;-4.680382252;0.695993841;-4.573466778;yes
acnB;-0.3658714;-4.608232021;1.960140944;-4.608232021;yes
